Gemaakt op,Type locatie,Status,Feedback gevraagd,Kanaal,Locatie,Nummer,Type sluikstort,dichtstbijzijnde_adres,longitude,latitude,geo_punt
2023-04-24T08:14:03+02:00,Openbare weg,Afgerond - Uitgevoerd,1,Meldingsapp (sluikstortmeldingen),"{""Locatie beschrijving"": ""aan ondergrondse sorteerpunt centrumplein "", ""Dichtstbijzijnde adres"": ""Friedrich Froebelstraat 11, 9050 Gent"", ""Longitude"": 3.740745213, ""Latitude"": 51.0358632417}",MLD2319966,Zakken,"Friedrich Froebelstraat 11, 9050 Gent",3.740745213,51.0358632417,"51.0358632417, 3.740745213"
2023-04-24T08:15:35+02:00,Openbare weg,Afgerond - Uitgevoerd,1,Meldingsapp (sluikstortmeldingen),"{""Locatie beschrijving"": ""verlichtingsarmatuur"", ""Dichtstbijzijnde adres"": ""Lange Steenstraat 67, 9000 Gent"", ""Longitude"": 3.7221135493, ""Latitude"": 51.0593086893}",MLD2319967,Elektrische toestellen,"Lange Steenstraat 67, 9000 Gent",3.7221135493,51.0593086893,"51.0593086893, 3.7221135493"
2023-04-24T08:52:19+02:00,Openbare weg,Afgerond - Uitgevoerd,1,Meldingsapp (sluikstortmeldingen),"{""Locatie beschrijving"": ""manilastraat, bij sorteerpunt"", ""Dichtstbijzijnde adres"": ""Manilastraat 24, 9000 Gent"", ""Longitude"": 3.693821641, ""Latitude"": 51.0686903876}",MLD2319980,Zakken,"Manilastraat 24, 9000 Gent",3.693821641,51.0686903876,"51.0686903876, 3.693821641"
2023-04-24T08:59:32+02:00,Openbare weg,Afgerond - Uitgevoerd,1,Webformulier (sluikstortmeldingen),"{""Locatie beschrijving"": ""Parkeerstrook voor nr 46"", ""Dichtstbijzijnde adres"": ""Francisco Ferrerlaan 46, 9000 Gent"", ""Longitude"": 3.7010018395, ""Latitude"": 51.0681209047}",MLD2319982,Andere,"Francisco Ferrerlaan 46, 9000 Gent",3.7010018395,51.0681209047,"51.0681209047, 3.7010018395"
2023-04-24T09:01:43+02:00,Openbare weg,Afgerond - Uitgevoerd,0,DROSO,"{""Locatie beschrijving"": ""Hoek Smaragdstraat en edelsteenstraat"", ""Dichtstbijzijnde adres"": ""Smaragdstraat 6, 9000 Gent"", ""Longitude"": 3.7118232106, ""Latitude"": 51.0197743654}",MLD2319986,,"Smaragdstraat 6, 9000 Gent",3.7118232106,51.0197743654,"51.0197743654, 3.7118232106"
2023-04-24T09:59:57+02:00,Openbare weg,Afgerond - Uitgevoerd,1,Meldingsapp (sluikstortmeldingen),"{""Locatie beschrijving"": ""weeral rond afvalkorf"", ""Dichtstbijzijnde adres"": ""Edmond Blockstraat 6, 9050 Gent"", ""Longitude"": 3.7557742369, ""Latitude"": 51.0453389883}",MLD2320002,Zakken,"Edmond Blockstraat 6, 9050 Gent",3.7557742369,51.0453389883,"51.0453389883, 3.7557742369"
2023-04-24T10:01:30+02:00,Openbare weg,Afgerond - Stopgezet,0,DROSO,"{""Locatie beschrijving"": ""Aan hoek met filaturestraat"", ""Dichtstbijzijnde adres"": ""Filaturestraat 43, 9000 Gent"", ""Longitude"": 3.7092004276, ""Latitude"": 51.067138568}",MLD2320005,,"Filaturestraat 43, 9000 Gent",3.7092004276,51.067138568,"51.067138568, 3.7092004276"
2023-04-24T10:02:16+02:00,Openbare weg,Afgerond - Uitgevoerd,0,DROSO,"{""Locatie beschrijving"": ""Ter hoogte van halte 201231(Minneplein) van DeLijn"", ""Dichtstbijzijnde adres"": ""Jan Delvinlaan 9, 9000 Gent"", ""Longitude"": 3.7471613433, ""Latitude"": 51.0477750304}",MLD2320007,,"Jan Delvinlaan 9, 9000 Gent",3.7471613433,51.0477750304,"51.0477750304, 3.7471613433"
2023-04-24T10:44:32+02:00,Openbare weg,Afgerond - Uitgevoerd,1,Meldingsapp (sluikstortmeldingen),"{""Locatie beschrijving"": ""Ingegeven huisnummer: oc\r\naan beide ondergrondse sorteerpunten dobbelslot \r\n"", ""Dichtstbijzijnde adres"": ""Dobbelslot, Gent"", ""Longitude"": 3.7215727758, ""Latitude"": 51.060930352}",MLD2320013,Andere;Papier en karton;Zakken,"Dobbelslot, Gent",3.7215727758,51.060930352,"51.060930352, 3.7215727758"
2023-04-24T10:47:17+02:00,Openbare weg,Afgerond - Uitgevoerd,1,Meldingsapp (sluikstortmeldingen),"{""Dichtstbijzijnde adres"": ""Langestraat 114, 9050 Gent"", ""Longitude"": 3.7433335, ""Latitude"": 51.035312}",MLD2320015,Zakken,"Langestraat 114, 9050 Gent",3.7433335,51.035312,"51.035312, 3.7433335"
